"Date","Price","Open","High","Low","Vol.","Change %"
"2023-06-30","121.28","119.23","121.70","119.23","398.14K","1.71%"
"2023-06-29","119.24","119.32","119.45","118.58","218.58K","0.08%"
"2023-06-28","119.14","118.55","119.72","117.52","355.63K","0.55%"
"2023-06-27","118.49","118.25","119.13","117.79","287.35K","0.13%"
"2023-06-26","118.34","116.36","118.56","116.36","491.30K","1.68%"
"2023-06-23","116.39","116.00","117.10","115.00","322.17K","0.39%"
"2023-06-22","115.94","114.84","116.13","114.80","280.88K","1.02%"
"2023-06-21","114.77","115.61","116.34","114.75","239.67K","-0.90%"
"2023-06-20","115.81","115.51","116.83","115.40","506.62K","0.03%"
"2023-06-19","115.78","115.67","116.27","115.28","130.74K","0.49%"
"2023-06-16","115.22","116.30","117.07","115.12","1.13M","-1.18%"
"2023-06-15","116.60","117.08","118.18","116.52","331.02K","-0.36%"
"2023-06-14","117.02","116.73","117.62","116.56","248.64K","-0.16%"
"2023-06-13","117.21","116.14","117.54","116.14","510.46K","0.56%"
"2023-06-12","116.56","116.17","117.27","116.05","491.50K","0.09%"
"2023-06-09","116.46","115.12","116.88","115.12","614.85K","0.90%"
"2023-06-08","115.42","115.34","116.35","115.08","278.07K","-0.03%"
"2023-06-07","115.46","117.16","117.39","115.08","355.58K","-1.46%"
"2023-06-06","117.17","117.38","117.72","116.38","356.63K","-0.03%"
"2023-06-05","117.20","117.90","119.36","117.13","1.56M","-1.09%"
"2023-06-02","118.49","117.53","118.74","116.39","447.02K","0.58%"
"2023-06-01","117.81","118.38","118.42","116.76","432.45K","-0.74%"
"2023-05-31","118.69","119.31","121.08","118.44","1.11M","-0.75%"
"2023-05-30","119.59","119.68","120.28","119.00","489.73K","-0.22%"
"2023-05-29","119.85","120.52","120.55","119.61","142.24K","-0.83%"
"2023-05-26","120.85","119.98","121.32","119.84","349.84K","0.94%"
"2023-05-25","119.72","120.14","120.64","119.03","348.89K","-0.80%"
"2023-05-24","120.68","119.15","120.77","118.51","333.92K","1.11%"
"2023-05-23","119.36","122.25","122.58","119.28","757.30K","-2.94%"
"2023-05-19","122.98","121.73","123.22","121.71","385.19K","1.16%"
"2023-05-18","121.57","120.64","121.63","119.81","502.24K","0.77%"
"2023-05-17","120.64","120.97","121.01","119.90","337.99K","-0.49%"
"2023-05-16","121.24","122.22","122.72","121.01","608.48K","-1.05%"
"2023-05-15","122.53","123.65","123.80","122.02","317.68K","-0.75%"
"2023-05-12","123.45","123.29","124.90","123.24","229.80K","-0.01%"
"2023-05-11","123.46","123.77","124.14","122.75","358.06K","-0.11%"
"2023-05-10","123.59","123.65","124.43","122.51","578.64K","-0.48%"
"2023-05-09","124.18","123.98","124.88","123.59","297.12K","0.68%"
"2023-05-08","123.34","122.15","123.82","121.52","403.92K","0.82%"
